word, delta, card(s)
in Stored,2,49981:49981:49852:45815:22276:5725:1226:201:32
in Stored,3,49981:49981:49981:49876:48689:35216:13537:3314:295
in a Cuboid,0,48605:32394:9997:1162:870:107:4:1:1:1:1
in a Cuboid,1,49981:49509:43811:16837:2273:979:184:6:1:1:1
in a Cuboid,2,49981:49981:49852:47189:31715:4772:1143:227:70:2:1
in a Cuboid,3,49981:49981:49981:49890:48727:34238:7578:1341:456:149:6
in a digraph and,0,48605:32394:9997:1162:870:10:8:2:1:1:1:1:1:1:1:1
in a digraph and,1,49981:49509:43811:16837:2273:923:165:23:2:1:1:1:1:1:1:1
in a digraph and,2,49981:49981:49852:47189:31715:6862:1297:216:57:13:4:4:1:1:1:1
in a digraph and,3,49981:49981:49981:49890:48727:35894:12527:1743:441:140:30:20:8:1:1:1
in der,0,48605:32394:9997:241:153:117
in der,1,49981:49509:43811:11395:1986:480
in der,2,49981:49981:49852:45946:23791:6064
in der,3,49981:49981:49981:49872:48921:34846
interruption in,0,48605:32394:2481:887:536:8:5:5:5:5:4:4:3:2:2
interruption in,1,49981:49509:43634:14822:5280:709:24:18:18:6:5:4:4:3:2
interruption in,2,49981:49981:49775:47778:26136:6931:763:103:18:18:6:5:4:4:3
interruption in,3,49981:49981:49981:49914:48865:28131:8587:1346:446:296:181:169:97:13:13
is in NCAS,0,48605:12279:2293:97:84:80:4:3:1:1
is in NCAS,1,49981:49586:36931:8817:4530:3804:159:14:4:1
is in NCAS,2,49981:49981:49874:42836:25293:13277:3961:453:29:6
is in NCAS,3,49981:49981:49981:49874:48300:38519:13854:4601:652:45
la Muestra para el,0,41940:8630:56:7:1:1:1:1:1:1:1:1:1:1:1:1:1:1
la Muestra para el,1,49981:48942:30690:2271:304:1:1:1:1:1:1:1:1:1:1:1:1:1
la Muestra para el,2,49981:49981:49827:34604:6088:949:91:7:1:1:1:1:1:1:1:1:1:1
la Muestra para el,3,49981:49981:49981:49835:39787:16591:2692:867:50:6:1:1:1:1:1:1:1:1
media,0,37676:13505:850:692:624
media,1,49981:49573:25119:2631:899
media,2,49981:49981:49761:38093:6946
media,3,49981:49981:49981:49888:45764
metamodels,0,37676:13505:1496:71:7:7:5:5:5:1
metamodels,1,49981:49573:24653:4332:116:41:25:23:23:8
metamodels,2,49981:49981:49867:39372:4955:574:337:55:39:29
metamodels,3,49981:49981:49981:49903:42899:15728:2321:739:395:92
mit inkohrenter,0,37676:6579:588:205:6:3:1:1:1:1:1:1:1:1:1
mit inkohrenter,1,49981:49243:25418:2322:331:72:3:1:1:1:1:1:1:1:1
mit inkohrenter,2,49981:49981:49707:41248:12374:3399:83:7:2:1:1:1:1:1:1
mit inkohrenter,3,49981:49981:49981:49872:47092:28597:3575:241:14:8:5:2:2:1:1
mutation matrices,0,37676:3292:153:136:128:127:99:99:56:1:1:1:1:1:1:1:1
mutation matrices,1,49981:45705:16608:2812:2178:2024:1955:1928:1088:74:11:4:1:1:1:1:1
mutation matrices,2,49981:49981:49435:33332:13454:11412:9081:8997:6842:1126:218:27:5:1:1:1:1
mutation matrices,3,49981:49981:49981:49763:42852:30517:22922:21461:16119:6905:2100:368:65:10:1:1:1
network based,0,48357:10895:1496:439:438:438:438:132:5:3:2:2:2
network based,1,49981:49795:34943:4115:2568:2539:2531:1018:141:32:6:5:5
network based,2,49981:49981:49903:36937:12526:3787:3165:2997:1034:258:75:34:23
network based,3,49981:49981:49981:49905:47058:30694:4151:3424:3002:1106:541:122:53
of Arterial Pressure,0,48143:17175:15848:702:93:31:2:2:2:1:1:1:1:1:1:1:1:1:1:1
of Arterial Pressure,1,49981:48511:38382:17648:2130:251:47:10:2:2:1:1:1:1:1:1:1:1:1:1
of Arterial Pressure,2,49981:49981:49834:41083:20818:5390:1109:368:62:20:10:5:3:2:1:1:1:1:1:1
of Arterial Pressure,3,49981:49981:49981:49861:46404:27666:11260:3122:798:234:55:34:6:3:2:1:1:1:1:1
of Boundaries from,0,48143:17175:15848:397:73:24:24:24:5:5:1:1:1:1:1:1:1:1
of Boundaries from,1,49981:48511:38382:16559:2917:259:97:83:35:16:8:4:4:2:1:1:1:1
of Boundaries from,2,49981:49981:49834:39506:22346:4770:1390:552:154:96:37:27:23:12:3:2:2:2
of Boundaries from,3,49981:49981:49981:49841:44529:25319:9002:2318:762:219:115:59:31:30:12:4:3:2
of Bounded Width,0,48143:17175:15848:397:73:24:24:24:18:18:17:1:1:1:1:1
of Bounded Width,1,49981:48511:38382:16559:2917:259:97:83:34:28:25:17:1:1:1:1
of Bounded Width,2,49981:49981:49834:39506:22346:4770:1390:552:174:114:95:26:17:1:1:1
of Bounded Width,3,49981:49981:49981:49841:44529:25319:9002:2318:999:251:207:97:35:20:5:4
of Derived Data,0,48143:17175:15848:813:201:6:6:6:3:3:3:1:1:1:1
of Derived Data,1,49981:48511:38382:17369:3650:498:102:22:12:8:8:4:2:2:2
of Derived Data,2,49981:49981:49834:40623:23713:6615:1535:287:75:28:25:12:7:5:5
of Derived Data,3,49981:49981:49981:49841:47262:32343:12237:2139:852:104:59:30:13:8:7
of Designing Good,0,48143:17175:15848:813:201:23:14:13:13:3:3:3:3:1:1:1:1
of Designing Good,1,49981:48511:38382:17369:3650:643:215:152:151:38:28:28:28:4:1:1:1
of Designing Good,2,49981:49981:49834:40623:23713:6564:2307:1425:1295:192:79:68:67:28:7:1:1
of Designing Good,3,49981:49981:49981:49841:47262:29987:11287:3300:2246:1509:315:187:183:69:36:7:1
of Full Prolog Part,0,48143:17175:15848:473:80:9:9:6:2:2:2:2:2:2:1:1:1:1:1
of Full Prolog Part,1,49981:48511:38382:16659:1573:478:23:12:6:2:2:2:2:2:2:1:1:1:1
of Full Prolog Part,2,49981:49981:49834:39568:19133:3489:717:96:17:11:5:2:2:2:2:2:1:1:1
of Full Prolog Part,3,49981:49981:49981:49836:43626:23467:4518:1002:125:39:24:5:2:2:2:2:2:1:1
of HPF in,0,48143:17175:15848:374:7:2:1:1:1
of HPF in,1,49981:48511:38382:16336:1459:8:3:1:1
of HPF in,2,49981:49981:49834:39119:18182:2001:65:4:2
of HPF in,3,49981:49981:49981:49836:41809:18992:5470:553:191
of Liveness,0,48143:17175:15848:569:143:6:5:2:2:2:2
of Liveness,1,49981:48511:38382:16586:2150:176:127:8:3:3:3
of Liveness,2,49981:49981:49834:39828:21165:2487:784:196:111:16:9
of Liveness,3,49981:49981:49981:49852:46655:22250:9934:1775:488:162:32
of Paxos,0,48143:17175:15848:1014:240:1:1:1
of Paxos,1,49981:48511:38382:17589:4141:256:3:1
of Paxos,2,49981:49981:49834:41175:24204:4370:731:39
of Paxos,3,49981:49981:49981:49845:46946:24620:8816:1140
of Quadratic Boolean,0,48143:17175:15848:106:94:56:9:7:6:6:4:4:4:1:1:1:1:1:1:1
of Quadratic Boolean,1,49981:48511:38382:15987:1221:209:64:17:11:10:10:8:8:4:2:1:1:1:1:1
of Quadratic Boolean,2,49981:49981:49834:38654:18596:5603:337:129:51:41:35:34:32:9:5:3:2:2:2:2
of Quadratic Boolean,3,49981:49981:49981:49835:43076:25688:6523:1221:352:114:78:45:41:32:12:6:3:2:2:2
of Sets of,0,48143:17175:15848:1370:283:31:18:10:9:9
of Sets of,1,49981:48511:38382:18649:3964:716:69:45:15:13
of Sets of,2,49981:49981:49834:41852:24656:8434:1358:276:92:52
of Sets of,3,49981:49981:49981:49864:47590:32063:11490:2275:576:172
of compiler,0,48143:17175:15848:255:146:72:52:2:2:2:2
of compiler,1,49981:48511:38382:16183:2903:730:438:69:27:22:10
of compiler,2,49981:49981:49834:41436:22778:5098:2078:560:199:157:68
of compiler,3,49981:49981:49981:49851:45329:27266:9660:2961:1090:756:363
of finite,0,48143:17175:15848:115:22:14:11:11:11
of finite,1,49981:48511:38382:17790:1726:491:116:80:78
of finite,2,49981:49981:49834:39349:22463:6250:903:370:228
of finite,3,49981:49981:49981:49834:46503:34912:9755:2788:1224
of the Cray T3D,0,48143:17175:15848:1648:1526:1509:1501:106:4:3:1:1:1:1:1
of the Cray T3D,1,49981:48511:38382:18694:4261:3885:3716:1693:226:54:5:3:2:2:2
of the Cray T3D,2,49981:49981:49834:42214:22977:10821:7715:4088:1832:531:58:10:3:2:2
of the Cray T3D,3,49981:49981:49981:49894:44001:30075:14603:8023:4484:2304:579:111:11:3:2
of timedependent,0,48143:17175:15848:1648:12:11:9:2:1:1:1:1:1:1:1:1
of timedependent,1,49981:48511:38382:18694:3180:176:82:21:3:1:1:1:1:1:1:1
of timedependent,2,49981:49981:49834:42214:25346:4839:2398:133:27:4:2:2:2:2:2:2
of timedependent,3,49981:49981:49981:49894:48222:29767:12573:3187:298:38:15:6:6:6:6:6
on RODhypersmooth,0,48143:33205:20301:572:1:1:1:1:1:1:1:1:1:1:1:1:1
on RODhypersmooth,1,49981:49624:45148:21555:768:4:1:1:1:1:1:1:1:1:1:1:1
on RODhypersmooth,2,49981:49981:49846:45721:22555:1400:13:2:1:1:1:1:1:1:1:1:1
on RODhypersmooth,3,49981:49981:49981:49860:46047:24741:3782:61:11:10:10:1:1:1:1:1:1
probabilistic,0,29734:6365:4353:277:55:54:53:53:53:34:34:34:34
probabilistic,1,49981:48647:22430:5819:2145:376:370:368:367:260:260:246:240
probabilistic,2,49981:49981:49630:25187:7727:2215:399:393:387:368:368:299:247
probabilistic,3,49981:49981:49981:49697:42459:8770:3878:1001:713:390:388:371:302
resource planning,0,47718:16744:3384:150:59:58:58:58:37:5:2:2:1:1:1:1:1
resource planning,1,49981:49775:33547:5164:564:307:289:289:200:37:11:2:2:1:1:1:1
resource planning,2,49981:49981:49857:42268:8180:1126:416:363:326:202:63:21:10:4:3:3:3
resource planning,3,49981:49981:49981:49897:44832:20865:1877:809:602:333:207:107:53:10:4:3:3
search using,0,45624:12051:389:366:366:366:273:3:2:1:1:1
search using,1,49981:49666:23250:4755:880:872:663:274:16:3:2:2
search using,2,49981:49981:49861:42519:7896:1940:943:663:289:71:46:6
search using,3,49981:49981:49981:49901:46285:14751:5628:975:686:365:216:82
semantic data models,0,45624:12051:232:54:51:50:50:43:15:1:1:1:1:1:1:1:1:1:1:1
semantic data models,1,49981:49666:22974:2241:903:628:623:617:260:15:6:2:2:2:1:1:1:1:1:1
semantic data models,2,49981:49981:49751:38311:14284:5666:1198:867:702:261:49:20:16:12:2:2:2:2:2:1
semantic data models,3,49981:49981:49981:49873:46844:30032:15131:2025:1428:718:340:100:23:17:12:10:10:10:10:6
term graphs,0,48409:23523:8406:538:21:1:1:1:1:1:1
term graphs,1,49981:49815:38543:14030:4426:43:18:12:12:12:1
term graphs,2,49981:49981:49884:42698:26682:5061:491:110:62:62:29
term graphs,3,49981:49981:49981:49891:49357:28899:8549:2912:372:298:194
the Arcadia,0,48409:16106:8480:7457:427:47:10:1:1:1:1
the Arcadia,1,49981:49067:35671:17590:8130:1037:112:23:4:1:1
the Arcadia,2,49981:49981:49842:46255:20939:9634:1806:417:39:19:2
the Arcadia,3,49981:49981:49981:49917:46919:30718:11173:3828:571:163:29
the Cm,0,48409:16106:8480:7457:695:2
the Cm,1,49981:49067:35671:17590:8166:870
the Cm,2,49981:49981:49842:46255:20702:8534
the Cm,3,49981:49981:49981:49917:47039:27132
the Rectilinear,0,48409:16106:8480:7457:323:191:34:5:4:4:4:4:4:4:4
the Rectilinear,1,49981:49067:35671:17590:7886:1914:312:53:9:4:4:4:4:4:4
the Rectilinear,2,49981:49981:49842:46255:19710:11285:2839:581:167:14:8:7:7:7:7
the Rectilinear,3,49981:49981:49981:49917:46716:30408:13234:4950:1559:233:83:22:19:18:18
through scaledriven,0,48409:16106:367:265:252:249:249:236:7:1:1:1:1:1:1:1:1:1:1
through scaledriven,1,49981:49067:31670:5447:606:429:426:390:241:16:2:1:1:1:1:1:1:1:1
through scaledriven,2,49981:49981:49758:45138:9093:1042:454:436:401:245:66:7:1:1:1:1:1:1:1
through scaledriven,3,49981:49981:49981:49848:46075:12769:1255:748:451:401:284:89:17:1:1:1:1:1:1
to Online Circuit,0,48409:10355:4053:89:9:6:6:6:6:6:3:1:1:1:1:1:1
to Online Circuit,1,49981:49609:30840:4547:423:27:21:21:21:19:6:3:1:1:1:1:1
to Online Circuit,2,49981:49981:49868:32587:10459:848:255:163:158:136:25:9:3:1:1:1:1
to Online Circuit,3,49981:49981:49981:49877:47398:13581:2799:947:625:350:149:34:10:4:3:1:1
to Software Process,0,48409:10355:4053:391:69:22:22:21:21:21:21:21:2:2:2:2:2:2:2
to Software Process,1,49981:49609:30840:6798:1005:134:86:79:78:78:78:65:23:3:3:2:2:2:2
to Software Process,2,49981:49981:49868:37954:15961:4579:1192:990:983:982:982:849:145:82:62:37:36:36:36
to Software Process,3,49981:49981:49981:49890:47958:26408:7737:1573:1383:1344:1340:1303:872:209:104:75:56:46:46
to data,0,48409:10355:4053:55:7:7:7
to data,1,49981:49609:30840:4412:667:115:78
to data,2,49981:49981:49868:36993:11966:3882:1300
to data,3,49981:49981:49981:49877:47058:24857:7327
topological spaces,0,48409:10355:192:64:55:54:54:24:18:18:18:18:5:2:2:2:2:2
topological spaces,1,49981:49609:14527:1662:981:240:237:168:118:112:111:106:18:7:3:2:2:2
topological spaces,2,49981:49981:49670:37895:5617:1549:652:345:214:166:156:155:106:26:16:9:8:6
topological spaces,3,49981:49981:49981:49670:42890:9335:2751:1112:587:409:356:335:159:112:43:20:11:8
using graph coloring,0,36149:5115:1292:958:753:743:13:3:3:3:3:1:1:1:1:1:1:1:1:1
using graph coloring,1,49981:48050:22496:7027:6490:5730:748:66:11:4:4:3:2:1:1:1:1:1:1:1
using graph coloring,2,49981:49981:49702:40562:25494:21338:5779:1107:322:37:21:9:3:2:1:1:1:1:1:1
using graph coloring,3,49981:49981:49981:49836:42038:34772:21407:7004:2398:455:98:37:16:8:3:2:2:2:2:2
we,0,14545:1490
we,1,49981:49304
we,2,49981:49981
we,3,49981:49981
with relocation and,0,14545:4239:3629:3420:3249:30:22:2:1:1:1:1:1:1:1:1:1:1:1
with relocation and,1,49981:48910:18458:6610:3666:3250:533:58:5:1:1:1:1:1:1:1:1:1:1
with relocation and,2,49981:49981:49660:26383:12542:3767:3363:752:128:26:8:4:4:4:4:3:1:1:1
with relocation and,3,49981:49981:49981:49752:47671:14820:5712:3575:1367:240:99:45:36:29:29:26:4:2:1
zur Integration,0,5728:399:242:240:22:18:13:13:10:10:9:9:9:9:9
zur Integration,1,49981:37302:9866:668:253:65:43:30:15:14:10:9:9:9:9
zur Integration,2,49981:49981:48993:28795:1973:1187:598:527:101:94:75:66:37:23:23
zur Integration,3,49981:49981:49981:49864:32858:10781:4805:3576:1064:947:622:477:307:237:235
